epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.111,0.79396,1.02477,0.83293,0.90858,0.90945,0.93359,0.75492,0.67808,0.48822,0.81407,0.000475909,0.000475909,0.000475909
2,250.042,0.76377,0.57725,0.82309,0.89441,0.90566,0.93437,0.75578,0.67462,0.50754,0.81772,0.000951596,0.000951596,0.000951596
3,372.116,0.73816,0.54148,0.81791,0.90768,0.92039,0.94027,0.7614,0.6491,0.46558,0.81172,0.0014247,0.0014247,0.0014247
4,494.225,0.71971,0.51237,0.81716,0.91734,0.92171,0.95408,0.78423,0.60781,0.43967,0.80749,0.00142029,0.00142029,0.00142029
5,618.564,0.70072,0.49492,0.81542,0.91539,0.93295,0.94977,0.78243,0.62547,0.43112,0.80717,0.00141354,0.00141354,0.00141354
6,741.6,0.68957,0.48264,0.80897,0.92359,0.93283,0.95828,0.79575,0.60396,0.41347,0.80287,0.0014049,0.0014049,0.0014049
7,864.119,0.68425,0.47998,0.81444,0.93488,0.92516,0.96188,0.79617,0.59647,0.41081,0.80184,0.00139438,0.00139438,0.00139438
8,989.482,0.66102,0.45609,0.80445,0.92426,0.93893,0.96402,0.80555,0.58034,0.40386,0.8018,0.00138202,0.00138202,0.00138202
9,1112.38,0.65145,0.44496,0.8053,0.9242,0.93563,0.96116,0.79661,0.57838,0.38826,0.80074,0.00136785,0.00136785,0.00136785
10,1234.87,0.65714,0.45463,0.803,0.94198,0.94004,0.96171,0.80178,0.57896,0.37918,0.79962,0.0013519,0.0013519,0.0013519
11,1359.96,0.63841,0.42771,0.80355,0.92273,0.94903,0.96422,0.81501,0.56723,0.38017,0.79662,0.00133423,0.00133423,0.00133423
12,1482.23,0.63012,0.42995,0.80511,0.92454,0.94525,0.9599,0.80217,0.56072,0.37838,0.79653,0.00131488,0.00131488,0.00131488
13,1605.81,0.63326,0.42487,0.80045,0.92819,0.93786,0.96008,0.81011,0.55759,0.38606,0.79592,0.00129391,0.00129391,0.00129391
14,1730.31,0.62589,0.4128,0.80073,0.92418,0.94155,0.95417,0.80994,0.55735,0.38648,0.79483,0.00127136,0.00127136,0.00127136
