epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.555,0.88015,2.00549,0.83745,0.9213,0.88755,0.92569,0.71903,0.76352,0.56051,0.82832,0.000475484,0.000475484,0.000475484
2,220.569,0.78416,0.83209,0.82629,0.91986,0.89754,0.93839,0.75816,0.67685,0.50259,0.81374,0.000904703,0.000904703,0.000904703
3,285.418,0.75318,0.60222,0.82237,0.91438,0.91601,0.94715,0.76261,0.65141,0.47853,0.81169,0.00128676,0.00128676,0.00128676
4,352.13,0.71612,0.53007,0.81382,0.912,0.92005,0.95199,0.78036,0.61173,0.43105,0.80692,0.00121679,0.00121679,0.00121679
5,417.281,0.70456,0.4985,0.81376,0.92425,0.92359,0.94936,0.7808,0.6195,0.42139,0.80649,0.00114606,0.00114606,0.00114606
6,482.242,0.68387,0.47953,0.80964,0.92844,0.92586,0.95577,0.79338,0.59808,0.42007,0.80171,0.00107532,0.00107532,0.00107532
7,547.258,0.67794,0.46203,0.80976,0.92326,0.9284,0.95497,0.78993,0.59748,0.41139,0.80373,0.00100459,0.00100459,0.00100459
8,612.648,0.65818,0.43514,0.80603,0.93747,0.92977,0.96249,0.79457,0.59398,0.40197,0.8009,0.000933851,0.000933851,0.000933851
9,680.18,0.64727,0.43167,0.80487,0.94077,0.92868,0.9639,0.80268,0.5735,0.38648,0.79907,0.000863116,0.000863116,0.000863116
10,745.108,0.62841,0.41524,0.80007,0.93532,0.945,0.96324,0.80018,0.56666,0.36609,0.79759,0.00079238,0.00079238,0.00079238
11,818.928,0.61981,0.41672,0.80686,0.93024,0.93499,0.96585,0.79889,0.59774,0.389,0.80209,0.000721645,0.000721645,0.000721645
12,883.567,0.59975,0.39948,0.80271,0.92881,0.94262,0.96392,0.80347,0.57059,0.37311,0.7991,0.000650909,0.000650909,0.000650909
13,945.761,0.59451,0.38241,0.79963,0.94195,0.94488,0.96864,0.80732,0.57348,0.36662,0.79777,0.000580174,0.000580174,0.000580174
14,1009.12,0.58222,0.37107,0.79711,0.9419,0.9437,0.97052,0.80808,0.55121,0.35453,0.79516,0.000509438,0.000509438,0.000509438
15,1072.93,0.57697,0.35565,0.79718,0.94282,0.94353,0.97008,0.81856,0.54638,0.33929,0.79523,0.000438703,0.000438703,0.000438703
16,1137.18,0.56569,0.34655,0.79771,0.94739,0.95041,0.97216,0.82262,0.53939,0.33574,0.79338,0.000367967,0.000367967,0.000367967
17,1201.85,0.55037,0.33651,0.79837,0.9302,0.95326,0.9726,0.81932,0.52724,0.33324,0.79148,0.000297232,0.000297232,0.000297232
18,1266.03,0.54343,0.33334,0.79669,0.93915,0.95736,0.97232,0.8226,0.51917,0.32174,0.78962,0.000226497,0.000226497,0.000226497
19,1331.88,0.53039,0.31885,0.79256,0.94856,0.94881,0.97478,0.83034,0.51328,0.30926,0.78938,0.000155761,0.000155761,0.000155761
20,1396.31,0.52014,0.307,0.79353,0.95878,0.94457,0.97552,0.8298,0.5087,0.30438,0.78888,8.50255e-05,8.50255e-05,8.50255e-05
